[Tue Feb 17 18:28:54 2026] CONSENSUS: 5 | APEX_YIELD: 3.5350 | STABILITY: LOCKED
[Tue Feb 17 18:29:19 2026] CONSENSUS: -9 | APEX_YIELD: -6.3630 | STABILITY: LOCKED
[Tue Feb 17 18:29:54 2026] CONSENSUS: -3 | APEX_YIELD: -2.1210 | STABILITY: LOCKED
[Tue Feb 17 18:30:19 2026] CONSENSUS: -14 | APEX_YIELD: -9.8980 | STABILITY: LOCKED
[Tue Feb 17 18:30:54 2026] CONSENSUS: 7 | APEX_YIELD: 4.9490 | STABILITY: LOCKED
[Tue Feb 17 18:31:19 2026] CONSENSUS: -6 | APEX_YIELD: -4.2420 | STABILITY: LOCKED
[Tue Feb 17 18:31:54 2026] CONSENSUS: 1 | APEX_YIELD: 0.7070 | STABILITY: LOCKED
[Tue Feb 17 18:32:19 2026] CONSENSUS: 0 | APEX_YIELD: 0.0000 | STABILITY: LOCKED
[Tue Feb 17 18:32:54 2026] CONSENSUS: 7 | APEX_YIELD: 4.9490 | STABILITY: LOCKED
[Tue Feb 17 18:33:19 2026] CONSENSUS: -12 | APEX_YIELD: -8.4840 | STABILITY: LOCKED
[Tue Feb 17 18:33:54 2026] CONSENSUS: -4 | APEX_YIELD: -2.8280 | STABILITY: LOCKED
